,dob,photo_taken,full_path,gender,name,face_location,face_score,second_face_score,date_of_birth,age
27,703706,1986,['31/100131_1926-09-06_1986.jpg'],1.0,['Prince Claus of the Netherlands'],[[105.97683617 132.25104521 341.56471754 367.83892658]],4.902966480237615,,1926,60
28,714561,1969,['45/10013345_1956-05-26_1969.jpg'],1.0,['Mehdi El Glaoui'],[[138.11816489 160.99119237 343.09541222 365.9684397 ]],4.598561071814541,,1956,13
32,719082,2010,['95/10014795_1968-10-11_2010.jpg'],1.0,['Chandrachur Singh'],[[159.1109887   45.93171106 260.31233858 147.13306094]],5.83799354555387,,1968,42
33,722145,2007,['79/10015679_1977-03-01_2007.jpg'],1.0,['Maksim Buznikin'],[[38.94626473 38.94626473 96.49066182 96.49066182]],5.640263214902015,,1977,30
35,725945,2012,['74/10016074_1987-07-27_2012.jpg'],1.0,['Thomas Enevoldsen'],[[130.26938271 178.79040122 274.95243825 323.47345677]],5.198935529601353,,1987,25
36,726136,2012,['25/10016225_1988-02-03_2012.jpg'],1.0,['Gregory van der Wiel'],[[249.85666584 105.28608568 321.26795593 176.69737576]],3.0973002636851317,,1988,24
38,717180,2009,['88/10016688_1963-07-28_2009.jpg'],0.0,['Katharina Franck'],[[183.92  99.44 309.76 225.28]],3.6644298834540887,,1963,46
40,720839,2007,['64/10017464_1973-08-03_2007.jpg'],1.0,['Daniel Stephan'],[[104.76830673  83.97464539 291.11125885 270.31759751]],5.343139771187023,,1973,34
51,724779,2014,['21/10026321_1984-05-17_2014.jpg'],1.0,['Igor Denisov'],[[146.44305555  65.57469135 291.12611109 210.2577469 ]],3.579296562259387,,1984,30
53,721280,2007,['62/10028362_1974-10-18_2007.jpg'],1.0,['Jeremy Scahill'],[[214.57028155  69.21329009 290.7139829  145.35699145]],3.574193712293149,,1974,33
56,713769,2007,['71/1002871_1954-03-26_2007.jpg'],1.0,['Curtis Sliwa'],[[245.45446244  33.23512833 391.78953991 179.57020579]],3.235915119442618,,1954,53
58,718098,2012,['80/1002980_1966-01-31_2012.jpg'],1.0,['Dexter Fletcher'],[[ 69.03230987  86.13688734 222.35950708 239.46408455]],4.956032345809338,,1966,46
59,723355,2013,['13/10030613_1980-06-23_2013.jpg'],0.0,['Melissa Rauch'],[[160.17701567 140.26488871 338.50615829 318.59403133]],3.3197362746058414,,1980,33
62,717802,2007,['43/1003243_1965-04-10_2007.jpg'],1.0,['Jure Robič'],[[124.32569681  89.02692629 282.39016413 247.09139362]],4.004869221818018,,1965,42
65,710562,2012,['59/10033359_1945-06-14_2012.jpg'],1.0,['Bruce Degen'],[[123.45351931  98.93881545 343.20585407 318.69115021]],4.112617691089812,,1945,67
69,701488,1970,['49/1003449_1920-08-10_1970.jpg'],1.0,['Red Holzman'],[[ 62.98167382  62.98167382 249.66269527 249.66269527]],4.028829034269829,,1920,50
71,721930,2009,['29/10034929_1976-07-29_2009.jpg'],1.0,['Jay Hieron'],[[169.69701258  34.57940252 244.90066824 109.78305818]],3.041627137600959,,1976,33
76,718549,2015,['84/100384_1967-04-27_2015.jpg'],1.0,['Willem-Alexander of the Netherlands'],[[  0.88       160.17701567 358.41828525 517.71530091]],4.23657431912644,,1967,48
77,719447,2013,['87/100387_1969-10-11_2013.jpg'],1.0,['Prince Constantijn of the Netherlands'],[[112.3520283   75.19468553 278.68007076 241.52272799]],3.2980966439990085,,1969,44
82,721809,2006,['48/1003948_1976-03-30_2006.jpg'],0.0,['Ayako Kawasumi'],[[ 29.04 141.68 281.6  394.24]],3.4625193832524364,,1976,30
85,722960,2010,['27/1004027_1979-05-25_2010.jpg'],1.0,['Carlos Bocanegra'],[[146.22305555  97.70203703 363.90763886 315.38662035]],3.7821766639207466,,1979,31
92,719695,2007,['60/1004160_1970-06-16_2007.jpg'],1.0,['Cobi Jones'],[[ 52.96692003  35.46994669 131.22730007 113.73032673]],3.0912951031731306,,1970,37
94,723590,2007,['29/1004429_1981-02-13_2007.jpg'],1.0,['Liam Miller'],[[110.46762795  92.18202329 274.28406988 255.99846522]],4.597932586281533,,1981,26
95,721591,2011,['40/1004540_1975-08-25_2011.jpg'],0.0,['Sarah Manners'],[[ 52.3343132  129.70778301 283.70272263 361.07619243]],5.244717610419388,,1975,36
101,690933,1958,['00/10049200_1891-09-16_1958.jpg'],0.0,['Isabel Jeans'],[[126.86918793 111.11053944 267.89702434 252.13837585]],5.254818639993248,,1891,67
104,707724,2010,['79/1005079_1937-09-06_2010.jpg'],0.0,['Jo Anne Worley'],[[ 85.14 106.26 274.56 295.68]],3.3343514755536487,,1937,73
105,714236,2005,['31/1005131_1955-07-06_2005.jpg'],1.0,['Rick Braun'],[[147.79306094  51.59067494 198.06373588 101.86134988]],3.056615300266259,,1955,50
106,715885,2013,['58/1005258_1960-01-10_2013.jpg'],0.0,['Gurinder Chadha'],[[107.58644628  86.24515703 298.77804959 277.43676033]],5.197344366635476,,1960,53
107,724074,2009,['11/10054011_1982-06-12_2009.jpg'],1.0,['Loïc Duval'],[[ 60.89245494 141.12239485 240.68981974 320.91975965]],3.842110512234417,,1982,27
110,727835,2010,['79/10055379_1992-09-28_2010.jpg'],1.0,['Keir Gilchrist'],[[ 61.24228141 121.60456282 331.99254776 392.35482917]],4.015770940039251,,1992,18
113,723152,2006,['27/1005927_1979-12-03_2006.jpg'],1.0,['Rainbow Sun Francks'],[[ 64.81309764  51.94287811 180.18307339 167.31285386]],4.9794175276846975,,1979,27
125,725376,2009,['03/10064003_1986-01-04_2009.jpg'],0.0,['Charlyne Yi'],[[192.95160331  75.5745124  288.10740496 170.73031405]],3.7228474993372727,,1986,23
126,723369,2005,['07/1006407_1980-07-07_2005.jpg'],0.0,['Deidre Downs'],[[169.67150506  91.66619503 286.01947011 208.01416008]],5.482030546880283,,1980,25
131,714046,2000,['92/100692_1954-12-28_2000.jpg'],1.0,['Denzel Washington'],[[ 68.40323062 136.23846123 220.4644995  288.29973012]],4.708681548697594,,1954,46
133,720644,2011,['07/1007007_1973-01-20_2011.jpg'],1.0,['Benjamin Biolay'],[[136.69513317 121.60456282 271.63026635 256.53969599]],3.200606044055522,,1973,38
135,723835,2010,['45/10071745_1981-10-16_2010.jpg'],1.0,['Frankie Edgar'],[[ 48.07594547  63.83459396 189.10378189 204.86243038]],3.881406275791293,,1981,29
136,706891,2005,['92/1007192_1935-05-27_2005.jpg'],0.0,['Lee Meriwether'],[[176.72563637  40.67491736 248.09248761 112.0417686 ]],3.706717689936597,,1935,70
137,716334,2010,['71/10071_1961-04-03_2010.jpg'],0.0,['Elizabeth Gracen'],[[  0.88       149.50937107 334.41608491 483.04545598]],4.790645351325969,,1961,49
139,720446,2009,['98/10072598_1972-07-06_2009.jpg'],1.0,['Nir Shaviv'],[[ 79.68363519 111.32988927 221.52377854 253.17003262]],3.536742823056265,,1972,37
141,724344,2013,['99/1007499_1983-03-09_2013.jpg'],1.0,['Clint Dempsey'],[[ 93.13503535  37.55641414 175.99896716 120.42034595]],3.8409820600124087,,1983,30
142,710341,1982,['01/10075401_1944-11-05_1982.jpg'],1.0,['Bob Weltlich'],[[141.68  43.12 267.52 168.96]],3.6352140841181715,,1944,38
143,726113,2010,['15/10075415_1988-01-11_2010.jpg'],0.0,['Junjun'],[[171.12230233 100.06550969 298.43852908 227.38173644]],4.590059231512015,,1988,22
148,711482,2007,['64/1007764_1947-12-21_2007.jpg'],1.0,['Paco de Lucía'],[[199.21799009  45.85172502 279.66789512 126.30163005]],3.336624114869822,,1947,60
155,727268,2010,['69/10079169_1991-03-11_2010.jpg'],0.0,['Linlin'],[[146.44232997  93.40366453 265.19332722 212.15466177]],3.6442533705686007,,1991,19
156,725440,2009,['28/1007928_1986-03-09_2009.jpg'],0.0,['Brittany Snow'],[[162.61672838  97.92203703 307.29978393 242.60509258]],4.956615363597603,,1986,23
157,725592,2014,['46/10080646_1986-08-08_2014.jpg'],0.0,['Charlotte Stokely'],[[ 98.93881545 123.45351931 318.69115021 343.20585407]],4.635688026850942,,1986,28
159,714766,2009,['33/1008133_1956-12-17_2009.jpg'],1.0,['Peter Farrelly'],[[ 91.42342212 121.60456282 362.17368846 392.35482917]],4.161781127489545,,1956,53
163,715313,2009,['83/1008283_1958-06-17_2009.jpg'],1.0,['Bobby Farrelly'],[[105.97683617 132.25104521 341.56471754 367.83892658]],5.360786593729777,,1958,51
167,726548,2014,['76/10084176_1989-03-21_2014.jpg'],1.0,['Takeru Satoh'],[[171.66235877  79.70262713 289.01629946 197.05656781]],4.258463058838422,,1989,25
168,720175,2010,['01/1008501_1971-10-09_2010.jpg'],1.0,['Stevie Richards'],[[151.78570353  31.06114071 286.7208367  165.99627388]],3.0070373560414723,,1971,39
169,721251,2015,['06/1008506_1974-09-19_2015.jpg'],0.0,['Victoria Silvstedt'],[[171.61031405 107.58644628 362.80191736 298.77804959]],3.4711606538194655,,1974,41
175,710433,1973,['81/10088281_1945-02-05_1973.jpg'],1.0,['Jean-Guy Lagace'],[[ 65.57469135 130.26938271 355.82080244 420.5154938 ]],4.273892812842571,,1945,28
176,707940,1976,['40/1008840_1938-04-10_1976.jpg'],1.0,['Don Meredith'],[[130.14705131 104.29084105 361.98694366 336.1307334 ]],5.471801208431188,,1938,38
177,714729,2008,['76/10088476_1956-11-10_2008.jpg'],1.0,['Sinbad'],[[114.18226913  57.45113457 241.10732191 184.37618734]],3.1782766196602013,,1956,52
179,724007,2002,['54/10088854_1982-04-06_2002.jpg'],1.0,['Barry Roche'],[[130.81392191  43.92464064 228.08436334 141.19508207]],3.5967281798917936,,1982,20
181,724123,2009,['10/10089110_1982-07-31_2009.jpg'],1.0,"[""Alan O'Hare""]",[[130.26938271  81.74836419 274.95243825 226.43141974]],3.708203339374699,,1982,27
183,719394,2000,['44/10089844_1969-08-19_2000.jpg'],1.0,"['Emigdio Preciado, Jr.']",[[ 20.87805048  51.7451262  113.17927764 144.04635336]],5.068770127167266,,1969,31
186,725447,2012,['74/10093174_1986-03-16_2012.jpg'],1.0,['Marcus Kelly'],[[ 82.71220192  55.27480128 205.78050481 178.34310417]],4.448780374003032,,1986,26
189,726670,2011,['85/10093585_1989-07-21_2011.jpg'],0.0,['Juno Temple'],[[194.96407406  81.74836419 339.64712961 226.43141974]],5.377803558782456,,1989,22
192,723611,2007,['53/1009453_1981-03-06_2007.jpg'],0.0,['Ellen Muth'],[[121.60456282 181.96684423 392.35482917 452.71711058]],3.2302146331588935,,1981,26
201,696397,1941,['36/20000636_1906-09-02_1941.jpg'],1.0,['Bill Kern'],[[108.39092438  46.93096759 245.83982714 184.37987036]],3.998757988293682,,1906,35
202,721688,1996,['19/2000219_1975-11-30_1996.jpg'],0.0,['Mindy McCready'],[[ 98.39266153  20.10893231 156.56745845  78.28372923]],3.983013757928118,,1975,21
205,723820,2013,['62/2000562_1981-10-01_2013.jpg'],1.0,['Rupert Friend'],[[ 59.49982923 205.7994023  321.85906076 468.15863383]],4.812911786339091,,1981,32
209,712284,2011,['74/20008074_1950-03-02_2011.jpg'],1.0,['James W. Pennebaker'],[[ 70.21805336 104.88708004 381.35929348 416.02832016]],3.478167522051689,,1950,61
212,718933,2007,['64/20010364_1968-05-15_2007.jpg'],1.0,['Perry Friedman'],[[171.96831923 109.72165769 311.23330769 248.98664615]],3.871675420001214,,1968,39
214,715880,2013,['18/2001318_1960-01-05_2013.jpg'],1.0,['Glenn Strömberg'],[[ 48.57128917 167.99951208 262.74209042 382.17031333]],3.0790350031956883,,1960,53
215,725511,2012,['06/20013406_1986-05-19_2012.jpg'],1.0,['Facundo Pieres'],[[141.68 169.84 394.24 422.4 ]],5.5389936931229675,,1986,26
216,703348,1958,['13/20013513_1925-09-13_1958.jpg'],1.0,['Sergei Salnikov'],[[ 82.35182414  67.47585612 148.75968026 133.88371223]],3.208500419411118,,1925,33
220,727149,2011,['78/20015278_1990-11-12_2011.jpg'],1.0,['Harmeet Singh'],[[120.22822292 167.99951208 334.39902417 382.17031333]],3.9138214575849912,,1990,21
224,711147,1993,['40/2001740_1947-01-20_1993.jpg'],1.0,['Cyrille Guimard'],[[ 67.65828326  67.65828326 267.43313304 267.43313304]],5.103265261952116,,1947,46
229,726846,2014,['61/20022961_1990-01-13_2014.jpg'],1.0,['Liam Hemsworth'],[[ 65.57469135 130.26938271 355.82080244 420.5154938 ]],5.000933250085387,,1990,24
236,722884,2009,['55/20025755_1979-03-10_2009.jpg'],1.0,['Edi Gathegi'],[[190.0452061   50.6603174  278.76977741 139.38488871]],3.3510355663756126,,1979,30
238,702375,1951,['69/20027069_1923-01-14_1951.jpg'],1.0,['Ken Johnson'],[[ 24.91447357  37.19271036 135.06060465 147.33884144]],3.606033695402701,,1923,28
239,727001,2014,['50/20027350_1990-06-17_2014.jpg'],1.0,['Jordan Henderson'],[[237.37972736  50.24577653 325.02212512 137.88817429]],3.975564742137427,,1990,24
241,724182,2013,['56/2002856_1982-09-28_2013.jpg'],0.0,['Nolwenn Leroy'],[[132.25104521 132.25104521 367.83892658 367.83892658]],3.605292345812248,,1982,31
249,718612,2009,['40/20033040_1967-06-29_2009.jpg'],0.0,['Upasana Singh'],[[194.80323784  60.39638087 328.55009481 194.14323784]],4.333820056987025,,1967,42
251,715128,2014,['35/20033935_1957-12-14_2014.jpg'],1.0,['Scott Lively'],[[141.68  99.44 267.52 225.28]],4.084451355455438,,1957,57
252,725552,2009,['55/20034355_1986-06-29_2009.jpg'],1.0,['Chris Pizzotti'],[[113.29215562 161.44479375 256.81407    304.96670812]],3.3402869928756678,,1986,23
254,687270,1944,['57/200357_1881-09-05_1944.jpg'],1.0,"['Henry Maitland Wilson, 1st Baron Wilson']",[[ 75.89285176  38.16642588 143.36041835 105.63399247]],3.4323014729513113,,1881,63
259,688817,1940,['85/200385_1885-11-30_1940.jpg'],1.0,['Albert Kesselring'],[[123.45351931 147.96822317 343.20585407 367.72055794]],3.2480139656448825,,1885,55
262,692069,1944,['03/20042203_1894-10-26_1944.jpg'],1.0,['Walther Buhle'],[[ 97.92203703  97.92203703 388.16814812 388.16814812]],3.6899224825573125,,1894,50
266,716387,2011,['55/2004855_1961-05-26_2011.jpg'],1.0,['Tarsem Singh'],[[ 61.31639369  61.31639369 170.54350233 170.54350233]],5.277782509974504,,1961,50
269,718757,2010,['28/20050128_1967-11-21_2010.jpg'],1.0,['Ken Block'],[[180.14233438  45.78558359 313.49908516 179.14233438]],3.582895142316236,,1967,43
273,720554,2008,['90/2005290_1972-10-22_2008.jpg'],0.0,['Saffron Burrows'],[[105.97683617  79.70262713 341.56471754 315.2905085 ]],6.18273825571757,,1972,36
275,706981,1956,['58/20054558_1935-08-25_1956.jpg'],1.0,['José Ramos Delgado'],[[149.50937107 112.3520283  315.83741352 278.68007076]],3.14167547575474,,1935,21
276,714740,2009,['74/2005574_1956-11-21_2009.jpg'],0.0,['Cherry Jones'],[[  0.88        61.24228141 271.63026635 331.99254776]],3.343297544227484,,1956,53
278,711151,1978,['91/200591_1947-01-24_1978.jpg'],1.0,['Warren Zevon'],[[ 65.57469135 162.61672838 355.82080244 452.86283947]],4.0171314512160645,,1947,31
283,696876,1945,['61/2006361_1907-12-25_1945.jpg'],1.0,['Mike Mazurki'],[[ 92.64  46.56 230.4  184.32]],3.351737501130647,,1907,38
287,707072,1960,['81/20065381_1935-11-24_1960.jpg'],1.0,['Vin Denson'],[[ 64.97831848  75.73903823 161.4107962  172.17151595]],3.407413090620837,,1935,25
289,701199,1973,['98/20065598_1919-10-26_1973.jpg'],1.0,['Mohammad Reza Pahlavi'],[[123.69745823  92.96809367 261.19959874 230.47023418]],4.559077248816067,,1919,54
290,718369,2003,['79/2006579_1966-10-29_2003.jpg'],1.0,['Drew Rosenhaus'],[[121.60456282  61.24228141 256.53969599 196.17741458]],3.239919684022404,,1966,37
293,712028,2011,['09/20068709_1949-06-19_2011.jpg'],1.0,['Mark Canton'],[[136.69513317  91.42342212 271.63026635 226.35855529]],3.9335734995639116,,1949,62
294,721103,2009,['78/20069078_1974-04-24_2009.jpg'],1.0,['Ray Griggs'],[[115.24513741  69.49908244 320.22238474 274.47632978]],4.749769752244823,,1974,35
295,716794,2011,['30/2006930_1962-07-07_2011.jpg'],1.0,['Akiva Goldsman'],[[101.37326047 130.1553349  230.25659537 259.03866979]],3.4932768335725615,,1962,49
299,710563,2015,['94/2007194_1945-06-15_2015.jpg'],1.0,['Don McGregor'],[[145.44458017  81.19098898 289.14116033 224.88756915]],3.2845820970333324,,1945,70
304,720728,2014,['50/200750_1973-04-14_2014.jpg'],1.0,['Adrien Brody'],[[120.35276175  80.52850783 298.68190437 258.85765046]],4.62303667852391,,1973,41
307,719651,2009,['16/2008016_1970-05-03_2009.jpg'],1.0,['Bobby Cannavale'],[[ 79.70262713 105.97683617 315.2905085  341.56471754]],3.8321255588471015,,1970,39
314,706789,1956,['29/20088629_1935-02-14_1956.jpg'],1.0,['Ronnie Knox'],[[ 67.73644457 112.45940761 268.33777827 313.06074131]],4.54427262822227,,1935,21
316,722043,2012,['15/20089715_1976-11-19_2012.jpg'],1.0,['Jack Dorsey'],[[128.92773554 150.2690248  320.11933885 341.4606281 ]],4.844692223512698,,1976,36
319,725266,2010,['26/2009326_1985-09-16_2010.jpg'],1.0,['Max Minghella'],[[ 97.92203703 162.61672838 388.16814812 452.86283947]],6.068164836253979,,1985,25
320,717470,2008,['14/2009614_1964-05-13_2008.jpg'],1.0,['Glacier'],[[ 13.56308047  79.02848283 130.93080472 196.39620708]],3.784798629153987,,1964,44
329,726715,2011,['36/30001236_1989-09-04_2011.jpg'],1.0,['Benjamin Francis Leftwich'],[[130.30882523 110.39669827 219.03339654 199.12126958]],3.257937105465756,,1989,22
339,724961,2012,['87/30008387_1984-11-15_2012.jpg'],0.0,['Katarina Bulatović'],[[186.87723764 243.48509258 258.77876541 315.38662035]],4.249692917844397,,1984,28
340,727769,2015,['53/30009853_1992-07-24_2015.jpg'],1.0,['Mikaël Kingsbury'],[[ 91.42342212 181.96684423 362.17368846 452.71711058]],4.347396953104787,,1992,23
342,722305,2011,['99/3001099_1977-08-08_2011.jpg'],0.0,['Lindsay Sloane'],[[ 98.93881545 123.45351931 318.69115021 343.20585407]],4.642086811872575,,1977,34
347,717365,2010,['35/30011835_1964-01-29_2010.jpg'],1.0,['Dirk Schulze-Makuch'],[[157.49954258 112.71395898 358.28466875 313.49908516]],4.356467167327704,,1964,46
354,710302,2010,['77/3001477_1944-09-27_2010.jpg'],0.0,['Angélica María'],[[209.30603956  72.59118605 273.429707   136.7148535 ]],3.7295535088973613,,1944,66
361,719999,2011,['53/3002053_1971-04-16_2011.jpg'],1.0,['Moses Chan'],[[100.44063479  60.61638087 278.76977741 238.9455235 ]],4.710275031407023,,1971,40
364,724905,2011,['29/30021129_1984-09-20_2011.jpg'],1.0,['Lars Vaular'],[[113.52 141.68 366.08 394.24]],5.125608921860912,,1984,27
367,718875,2007,['36/30022636_1968-03-18_2007.jpg'],1.0,['Juan Carlos Vellido'],[[ 75.19468553 149.50937107 408.73077044 483.04545598]],5.191681539214649,,1968,39
370,703401,2008,['25/30028425_1925-11-05_2008.jpg'],1.0,['Norm Winningstad'],[[ 58.67025177  47.02580142 163.02230496 151.3778546 ]],4.009530996489213,,1925,83
373,724373,2012,['12/3002912_1983-04-07_2012.jpg'],1.0,['Franck Ribéry'],[[134.03740093  89.64293395 332.95850231 288.56403534]],3.8917223394082043,,1983,29
376,714772,2014,['21/3003021_1956-12-23_2014.jpg'],1.0,['Jesús Huerta de Soto'],[[ 93.76763453  75.15730762 260.54457667 241.93424977]],4.377862216443561,,1956,58
382,714890,2011,['47/30034447_1957-04-20_2011.jpg'],1.0,['Tony Mangan'],[[ 92.37210993 183.86421985 297.34935726 388.84146718]],4.713011835182248,,1957,54
383,714208,2014,['34/30034_1955-06-08_2014.jpg'],1.0,['Tim Berners-Lee'],[[251.80969962  50.83073992 341.66423148 140.68527179]],4.577596879767921,,1955,59
389,725098,2006,['03/30040203_1985-04-01_2006.jpg'],1.0,['Ryan A. Conklin'],[[122.11849784  85.69534849 230.67994589 194.25679654]],4.190981761736861,,1985,21
396,710742,2012,['02/30046202_1945-12-11_2012.jpg'],1.0,['Harold Hamm'],[[120.35276175 120.35276175 298.68190437 298.68190437]],4.029321959307656,,1945,67
398,722879,2010,['34/3004634_1979-03-05_2010.jpg'],1.0,['Indra Sahdan Daud'],[[209 225 280 296]],3.2560696026921847,,1979,31
404,719019,2009,['72/3005072_1968-08-09_2009.jpg'],1.0,['McG'],[[156.1958606   39.54246515 272.19125606 155.5378606 ]],3.861076250176885,,1968,41
409,727541,2014,['13/30058713_1991-12-09_2014.jpg'],1.0,['Choi Min-ho'],[[195.01172051 170.76025545 412.27490609 388.02344103]],4.113418291561221,,1991,23
412,727269,2015,['62/30061462_1991-03-12_2015.jpg'],0.0,['Kyra Dutt'],[[ 77.6  77.6 307.2 307.2]],3.0573416329062524,,1991,24
413,727270,2010,['79/30062079_1991-03-13_2010.jpg'],0.0,['Malou Ejdesgaard'],[[103.06269261  56.61601415 185.78671384 139.34003538]],3.817959956806333,,1991,19
417,692028,1977,['50/300650_1894-09-15_1977.jpg'],1.0,['Oskar Klein'],[[ 50.74767517  57.05113457 107.15880974 113.46226913]],3.178091765828562,,1894,83
419,698271,1941,['58/30066658_1911-10-20_1941.jpg'],1.0,['Theodore N. Kaufman'],[[ 37.25834736  74.01669472 202.17091048 238.92925784]],4.722936145437107,,1911,30
420,711945,2005,['51/3006751_1949-03-28_2005.jpg'],1.0,['Leslie Valiant'],[[177.88479552 112.8803705  230.47023418 165.46580915]],3.5874563630360363,,1949,56
421,722097,2009,['56/3006756_1977-01-12_2009.jpg'],1.0,['Piolo Pascual'],[[ 86.24515703 107.58644628 277.43676033 298.77804959]],4.970127317828605,,1977,32
422,716479,2011,['50/3006850_1961-08-26_2011.jpg'],1.0,['Ángel Hernández'],[[106.56063286  85.44850629 295.56977201 274.45764544]],3.4402071394924008,,1961,50
426,705202,2010,['57/3007157_1930-10-11_2010.jpg'],1.0,['LaVell Edwards'],[[123.45351931 196.9976309  343.20585407 416.74996566]],3.910655062590337,,1930,80
427,726786,2012,['49/30072249_1989-11-14_2012.jpg'],1.0,['Vlad Chiricheș'],[[134.51656652 156.80266094 334.29141631 356.57751073]],4.074615470698883,,1989,23
429,713934,2013,['77/3007277_1954-09-07_2013.jpg'],1.0,['Michael Emerson'],[[104.88708004 139.55610672 416.02832016 450.69734684]],4.810947186940887,,1954,59
430,727609,2014,['89/30073089_1992-02-15_2014.jpg'],1.0,['Kristaps Zvejnieks'],[[ 59.61335578 147.83338944 323.47345677 411.69349043]],5.236484146933117,,1992,22
431,707999,2000,['35/3007535_1938-06-08_2000.jpg'],1.0,['Fisher DeBerry'],[[149.50937107  56.61601415 315.83741352 222.9440566 ]],3.6920792394044453,,1938,62
434,728130,2014,['45/30079345_1993-07-20_2014.jpg'],1.0,['Adam Maher'],[[ 27.7529004  190.67030278 271.52900398 434.44640636]],4.475102266282582,,1993,21
438,715033,2014,['19/3008319_1957-09-10_2014.jpg'],0.0,['Kate Burton'],[[ 79.70262713 105.97683617 315.2905085  341.56471754]],4.6682400410245695,,1957,57
444,719705,2013,['93/3008793_1970-06-26_2013.jpg'],1.0,['Nick Offerman'],[[138.11816489  92.37210993 343.09541222 297.34935726]],4.298973321131414,,1970,43
449,726081,2013,['19/30092419_1987-12-10_2013.jpg'],1.0,['Sergio Henao'],[[120.35276175 100.44063479 298.68190437 278.76977741]],3.4441454738912323,,1987,26
451,728484,2012,['48/30093048_1994-07-09_2012.jpg'],1.0,['Pepe Oriola'],[[ 59.61335578 118.42671155 323.47345677 382.28681254]],4.240800359247349,,1994,18
455,725287,2009,['63/30099963_1985-10-07_2009.jpg'],1.0,['Mattias Hargin'],[[ 59.61335578 147.83338944 323.47345677 411.69349043]],4.418877158273364,,1985,24
457,721794,2009,['41/4000241_1976-03-15_2009.jpg'],0.0,['Bonnie-Jill Laflin'],[[123.45351931 147.96822317 343.20585407 367.72055794]],4.962781401831439,,1976,33
460,708488,1997,['62/400062_1939-10-10_1997.jpg'],1.0,['Neil Sloane'],[[121.60456282  91.42342212 392.35482917 362.17368846]],5.26050579857908,,1939,58
468,715340,2009,['48/40021348_1958-07-14_2009.jpg'],1.0,['Andrew David Irvine'],[[181.96684423 227.23855529 316.9019774  362.17368846]],4.214381398373053,,1958,51
470,726491,2014,['72/40023572_1989-01-23_2014.jpg'],1.0,['Jacky Vincent'],[[146.44305555 130.26938271 291.12611109 274.95243825]],3.2260411938901616,,1989,25
474,725991,2014,['51/40031851_1987-09-11_2014.jpg'],0.0,['Elizabeth Henstridge'],[[123.45351931 147.96822317 343.20585407 367.72055794]],5.0435278263071766,,1987,27
475,728037,2013,['41/40032041_1993-04-18_2013.jpg'],1.0,['Eric Hedlin'],[[139.55610672 122.22159338 294.68672678 277.35221344]],4.978767669893453,,1993,20
483,725230,2014,['90/40038790_1985-08-11_2014.jpg'],1.0,['Gary Wilson'],[[138.11816489  80.93559618 240.16678855 182.98421985]],4.575841756311641,,1985,29
488,705090,1973,['24/4004224_1930-06-21_1973.jpg'],1.0,['Mike McCormack'],[[121.60456282  91.42342212 392.35482917 362.17368846]],3.842744893713201,,1930,43
